Entity Name,Plant Name,Plant State,County,Nameplate Capacity (MW),Technology,Latitude,Longitude
Tennessee Valley Authority,Shawnee,KY,McCracken,175,Conventional Steam Coal,37.1517,-88.775
Tennessee Valley Authority,Shawnee,KY,McCracken,175,Conventional Steam Coal,37.1517,-88.775
Big Rivers Electric Corp,R D Green,KY,Webster,293,Conventional Steam Coal,37.6461,-87.5
Big Rivers Electric Corp,R D Green,KY,Webster,293,Conventional Steam Coal,37.6461,-87.5
Public Service Co of Oklahoma,Northeastern,OK,Rogers,473,Conventional Steam Coal,36.4317,-95.7008
Tennessee Valley Authority,Bull Run,TN,Anderson,950,Conventional Steam Coal,36.0211,-84.1567
Lansing Board of Water and Light,Erickson Station,MI,Eaton,154.7,Conventional Steam Coal,42.692222,-84.65722
Tennessee Valley Authority,Kingston,TN,Roane,175,Conventional Steam Coal,35.8992,-84.5194
Tennessee Valley Authority,Kingston,TN,Roane,175,Conventional Steam Coal,35.8992,-84.5194
Tennessee Valley Authority,Kingston,TN,Roane,175,Conventional Steam Coal,35.8992,-84.5194
Tennessee Valley Authority,Kingston,TN,Roane,175,Conventional Steam Coal,35.8992,-84.5194
Tennessee Valley Authority,Kingston,TN,Roane,200,Conventional Steam Coal,35.8992,-84.5194
Tennessee Valley Authority,Kingston,TN,Roane,200,Conventional Steam Coal,35.8992,-84.5194
Tennessee Valley Authority,Kingston,TN,Roane,200,Conventional Steam Coal,35.8992,-84.5194
Tennessee Valley Authority,Kingston,TN,Roane,200,Conventional Steam Coal,35.8992,-84.5194
Tennessee Valley Authority,Kingston,TN,Roane,200,Conventional Steam Coal,35.8992,-84.5194
City of Painesville,Painesville,OH,Lake,7.5,Conventional Steam Coal,41.7265,-81.254
City of Painesville,Painesville,OH,Lake,16.5,Conventional Steam Coal,41.7265,-81.254
City of Painesville,Painesville,OH,Lake,22,Conventional Steam Coal,41.7265,-81.254
City of Painesville,Painesville,OH,Lake,7.5,Conventional Steam Coal,41.7265,-81.254
Appalachian Power Co,Mountaineer,WV,Mason,1300,Conventional Steam Coal,38.9794,-81.9344
"Gavin Power, LLC","Gavin Power, LLC",OH,Gallia,1300,Conventional Steam Coal,38.9347,-82.1158
"Gavin Power, LLC","Gavin Power, LLC",OH,Gallia,1300,Conventional Steam Coal,38.9347,-82.1158
City of Orrville - (OH),Orrville,OH,Wayne,25,Conventional Steam Coal,40.850964,-81.76576
City of Orrville - (OH),Orrville,OH,Wayne,5,Conventional Steam Coal,40.850964,-81.76576
City of Orrville - (OH),Orrville,OH,Wayne,7.5,Conventional Steam Coal,40.850964,-81.76576
City of Orrville - (OH),Orrville,OH,Wayne,22,Conventional Steam Coal,40.850964,-81.76576
Southern Indiana Gas & Elec Co,F B Culley,IN,Warrick,103.7,Conventional Steam Coal,37.9111,-87.3275
Southern Indiana Gas & Elec Co,F B Culley,IN,Warrick,265.2,Conventional Steam Coal,37.9111,-87.3275
AGC Division of APGI Inc,Warrick,IN,Warrick,166.6,Conventional Steam Coal,37.915,-87.3328
AGC Division of APGI Inc,Warrick,IN,Warrick,166.6,Conventional Steam Coal,37.915,-87.3328
AGC Division of APGI Inc,Warrick,IN,Warrick,166.6,Conventional Steam Coal,37.915,-87.3328
AGC Division of APGI Inc,Warrick,IN,Warrick,323,Conventional Steam Coal,37.915,-87.3328
Northern States Power Co - Minnesota,Allen S King,MN,Washington,598.4,Conventional Steam Coal,45.03,-92.7786
University of North Carolina,Univ of NC Chapel Hill Cogen Facility,NC,Orange,28,Conventional Steam Coal,35.9069,-79.0617
Georgia Power Co,Bowen,GA,Bartow,805.8,Conventional Steam Coal,34.1256,-84.9222
Georgia Power Co,Bowen,GA,Bartow,788.8,Conventional Steam Coal,34.1256,-84.9222
Georgia Power Co,Bowen,GA,Bartow,952,Conventional Steam Coal,34.1256,-84.9222
Georgia Power Co,Bowen,GA,Bartow,952,Conventional Steam Coal,34.1256,-84.9222
"Duke Energy Florida, LLC",Crystal River,FL,Citrus,739.2,Conventional Steam Coal,28.9656,-82.6977
"Duke Energy Florida, LLC",Crystal River,FL,Citrus,739.2,Conventional Steam Coal,28.9656,-82.6977
DTE Electric Company,St Clair,MI,St Clair,156.2,Conventional Steam Coal,42.7642,-82.4719
DTE Electric Company,St Clair,MI,St Clair,156.2,Conventional Steam Coal,42.7642,-82.4719
DTE Electric Company,St Clair,MI,St Clair,352.7,Conventional Steam Coal,42.7642,-82.4719
DTE Electric Company,St Clair,MI,St Clair,544.5,Conventional Steam Coal,42.7642,-82.4719
DTE Electric Company,Belle River,MI,St Clair,697.5,Conventional Steam Coal,42.7756,-82.495
DTE Electric Company,Belle River,MI,St Clair,697.5,Conventional Steam Coal,42.7756,-82.495
Indiana Michigan Power Co,Rockport,IN,Spencer,1300,Conventional Steam Coal,37.9256,-87.0372
Indiana Michigan Power Co,Rockport,IN,Spencer,1300,Conventional Steam Coal,37.9256,-87.0372
Cleveland Cliffs Inc,Silver Bay Power,MN,Lake,50,Conventional Steam Coal,47.286573,-91.26053
Cleveland Cliffs Inc,Silver Bay Power,MN,Lake,81.6,Conventional Steam Coal,47.286573,-91.26053
Northern States Power Co - Minnesota,Sherburne County,MN,Sherburne,765.3,Conventional Steam Coal,45.3808,-93.8931
Northern States Power Co - Minnesota,Sherburne County,MN,Sherburne,765.3,Conventional Steam Coal,45.3808,-93.8931
Northern States Power Co - Minnesota,Sherburne County,MN,Sherburne,938.7,Conventional Steam Coal,45.3808,-93.8931
Tampa Electric Co,Big Bend,FL,Hillsborough,486,Conventional Steam Coal,27.7944,-82.4036
"ALLETE, Inc.",Taconite Harbor Energy Center,MN,Cook,84,Conventional Steam Coal,47.5314,-90.9114
"ALLETE, Inc.",Taconite Harbor Energy Center,MN,Cook,84,Conventional Steam Coal,47.5314,-90.9114
Ohio Valley Electric Corp,Kyger Creek,OH,Gallia,217.3,Conventional Steam Coal,38.9144,-82.1289
Ohio Valley Electric Corp,Kyger Creek,OH,Gallia,217.3,Conventional Steam Coal,38.9144,-82.1289
Ohio Valley Electric Corp,Kyger Creek,OH,Gallia,217.3,Conventional Steam Coal,38.9144,-82.1289
Ohio Valley Electric Corp,Kyger Creek,OH,Gallia,217.3,Conventional Steam Coal,38.9144,-82.1289
Ohio Valley Electric Corp,Kyger Creek,OH,Gallia,217.3,Conventional Steam Coal,38.9144,-82.1289
Ahlstrom-Munksjo,Rhinelander Mill,WI,Oneida,9.3,Conventional Steam Coal,45.6394,-89.4205
City of Dover - (OH),Dover,OH,Tuscarawas,8,Conventional Steam Coal,40.520066,-81.46815
City of Dover - (OH),Dover,OH,Tuscarawas,19.5,Conventional Steam Coal,40.520066,-81.46815
Orlando Utilities Comm,Stanton Energy Center,FL,Orange,464.5,Conventional Steam Coal,28.4822,-81.1678
Orlando Utilities Comm,Stanton Energy Center,FL,Orange,464.5,Conventional Steam Coal,28.4822,-81.1678
Dynegy Midwest Generation Inc,Baldwin Energy Complex,IL,Randolph,625.1,Conventional Steam Coal,38.205,-89.8544
Dynegy Midwest Generation Inc,Baldwin Energy Complex,IL,Randolph,634.5,Conventional Steam Coal,38.205,-89.8544
Prairie State Generating Co LLC,Prairie State Generating Station,IL,St Clair,883,Conventional Steam Coal,38.279167,-89.66694
Prairie State Generating Co LLC,Prairie State Generating Station,IL,St Clair,883,Conventional Steam Coal,38.279167,-89.66694
